date,state,gapfilled_ntl,ntl_variability,lunar_irradiance,quality_score,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft,day_of_year,month,year,season,peak_speed_missing,peak_altitude_missing
2021-05-02,NJ,23.200180570098897,0.0042455157906731,8.470201953636192,0.9987550901687028,6449300.0,2678500.0,NE,37.0,1200.0,122,5,2021,spring,0,0
2021-05-03,NJ,15.400000000000004,3.552713678800501e-15,8.468223561716147,0.9995904595695172,330100.0,513600.0,NNE,11.0,1400.0,123,5,2021,spring,0,0
2021-05-04,NJ,1.0071078534031417,2.099579452253656,8.485686622434633,0.990785340314136,2841200.0,1556500.0,NNE,40.0,2100.0,124,5,2021,spring,0,0
2021-05-05,NJ,5.34726934264107,1.7787527384147277,8.428907745055792,0.9937265852239674,14100.0,80200.0,E,7.0,1600.0,125,5,2021,spring,0,0
2021-05-06,NJ,0.5,0.0,6.928141550879603,0.9991832460732984,327700.0,802800.0,NE,15.0,900.0,126,5,2021,spring,0,0
2021-05-07,NJ,0.5,0.0,7.266824892980117,0.985477603257708,248100.0,927200.0,N,18.0,1700.0,127,5,2021,spring,0,0
2021-05-08,NJ,0.5,0.0,8.326612361971437,1.0,105300.0,122600.0,ENE,22.0,900.0,128,5,2021,spring,0,0
2021-05-09,NJ,0.5,0.0,6.57593560549628,0.9978871436881908,4348500.0,2515100.0,NNE,49.0,1900.0,129,5,2021,spring,0,0
2021-05-10,NJ,0.5,0.0,7.864791390779731,0.9939453170447934,739700.0,933700.0,NNE,15.0,900.0,130,5,2021,spring,0,0
2021-05-11,NJ,0.5,0.0,8.333905197055854,0.9872577079697498,602200.0,1476000.0,NE,21.0,800.0,131,5,2021,spring,0,0
2021-05-12,NJ,0.5,0.0,6.985405164363902,0.9878859802210588,397400.0,1056100.0,NE,11.0,900.0,132,5,2021,spring,0,0
2021-05-13,NJ,0.4999906922629435,0.0021572625927885,7.272753355891878,0.9999278650378128,4016600.0,3353900.0,NNE,29.0,1500.0,133,5,2021,spring,0,0
2021-05-14,NJ,0.5,0.0,7.094816799692012,0.9999069226294356,4231400.0,1803600.0,NE,36.0,1600.0,134,5,2021,spring,0,0
2021-05-15,NJ,0.5,0.0,8.421808874702563,0.9902966841186736,2924800.0,1505400.0,NNE,27.0,1400.0,135,5,2021,spring,0,0
2021-05-16,NJ,0.5,0.0,8.354987252768527,0.987564863292612,1031500.0,958900.0,NE,27.0,1600.0,136,5,2021,spring,0,0
2021-05-17,NJ,0.5,0.0,6.560940987353788,0.9999208842350202,3188700.0,1173600.0,NE,37.0,900.0,137,5,2021,spring,0,0
2021-05-18,NJ,0.5,0.0,6.842132854107723,0.999916230366492,2755800.0,1023400.0,NE,40.0,1200.0,138,5,2021,spring,0,0
2021-05-19,NJ,0.5,0.0,6.640513125406836,0.996779522978476,3078300.0,1936800.0,NNE,26.0,1400.0,139,5,2021,spring,0,0
2021-05-20,NJ,11.315083187899944,7.701936873382766,7.735240725587837,0.8699290285049448,1057700.0,957300.0,NNE,24.0,1400.0,140,5,2021,spring,0,0
2021-05-22,NJ,6.227012449098313,13.07234789440846,7.603272567326885,0.9297963932518908,215300.0,226800.0,ENE,18.0,1300.0,142,5,2021,spring,0,0
2021-05-23,NJ,51.79999999999999,1.4210854715202004e-14,7.310764637707667,0.9929842931937172,45600.0,129900.0,ENE,8.0,1500.0,143,5,2021,spring,0,0
2021-05-24,NJ,72.0,0.0,7.881016663559393,0.9967958115183246,314400.0,216300.0,NNE,19.0,1300.0,144,5,2021,spring,0,0
2021-05-25,NJ,99.5624511925538,0.5321684265699749,7.469574387716737,0.885196044211751,2410300.0,909800.0,NE,43.0,1400.0,145,5,2021,spring,0,0
2021-05-27,NJ,112.13146201279812,0.2754643376559056,7.64035251322211,0.9855730075625364,143600.0,162300.0,NNE,11.0,2000.0,147,5,2021,spring,0,0
2021-05-28,NJ,77.5,0.0,7.418493227587309,0.989389179755672,7600.0,41300.0,WSW,1.0,1200.0,148,5,2021,spring,0,0
2021-05-29,NJ,54.5,0.0,8.080471722219988,1.0,8300.0,35100.0,Low activity,-1.0,-1.0,149,5,2021,spring,1,1
2021-05-30,NJ,38.09742315299594,0.0423928385740812,8.07939618960557,0.9984688772542176,8400.0,25600.0,Low activity,-1.0,-1.0,150,5,2021,spring,1,1
2021-05-31,NJ,26.262140779522987,0.1322735410555831,7.56158591016554,0.9572891215823152,1160800.0,688200.0,NE,34.0,1300.0,151,5,2021,spring,0,0
2021-06-01,NJ,17.681366841186737,0.1991301217612245,8.57462030418796,0.9519069226294355,312000.0,256400.0,NNE,26.0,1500.0,152,6,2021,other,0,0
2021-06-02,NJ,11.7,1.7763568394002505e-15,7.953053163406422,0.9987085514834206,58700.0,75900.0,N,20.0,1500.0,153,6,2021,other,0,0
2021-06-03,NJ,7.5,0.0,8.05568990345007,0.9999301919720768,36100.0,30900.0,Low activity,-1.0,-1.0,154,6,2021,other,1,1
2021-06-04,NJ,0.5,0.0,8.061832129559615,0.999176265270506,93100.0,84300.0,NE,10.0,800.0,155,6,2021,other,0,0
2021-06-05,NJ,0.5334333915066899,0.2564156612723573,6.912984562754658,0.9881210005817336,117500.0,91600.0,ENE,20.0,900.0,156,6,2021,other,0,0
2021-06-07,NJ,0.5,0.0,7.197766172132251,0.9161372891215822,69700.0,126000.0,NNE,15.0,900.0,158,6,2021,other,0,0
2021-06-08,NJ,0.5,0.0,7.8536588009317025,0.9916765561372892,15900.0,154200.0,NNE,1.0,700.0,159,6,2021,other,0,0
2021-06-09,NJ,0.5,0.0,7.852690617885146,0.9952041884816754,20100.0,79300.0,ENE,7.0,1200.0,160,6,2021,other,0,0
2021-06-10,NJ,0.5,0.0,6.93850044338104,0.9544525887143688,28800.0,80300.0,WNW,18.0,1300.0,161,6,2021,other,0,0
2021-06-11,NJ,0.5,0.0,7.593492882795607,0.9711041303083188,7900.0,20400.0,Low activity,-1.0,-1.0,162,6,2021,other,1,1
2021-06-12,NJ,0.5,0.0,7.423381081271577,0.9277649796393252,9900.0,27600.0,Low activity,-1.0,-1.0,163,6,2021,other,1,1
2021-06-13,NJ,0.5,0.0,6.710244566563759,0.9804444444444445,12300.0,26500.0,Low activity,-1.0,-1.0,164,6,2021,other,1,1
2021-06-14,NJ,0.5,0.0,7.450062814640487,0.9828528214077952,9300.0,25600.0,Low activity,-1.0,-1.0,165,6,2021,other,1,1
2022-08-11,NJ,108.99486212914486,0.3369235471566596,7.983870662709934,0.9936428155904596,876300.0,561500.0,SSW,22.0,2400.0,223,8,2022,other,0,0
2022-08-12,NJ,131.53767353112278,0.3222763638162406,8.035107249517296,0.9944874927283304,938700.0,629100.0,SSW,24.0,2400.0,224,8,2022,other,0,0
2022-08-13,NJ,92.57460011634672,0.1823720955125189,6.635359301146114,0.9793996509598604,86300.0,144900.0,SSW,8.0,3500.0,225,8,2022,other,0,0
2022-08-14,NJ,66.30476556137288,0.0213036513792919,7.688007597766971,0.9966887725421756,13700.0,34400.0,Low activity,-1.0,-1.0,226,8,2022,other,1,1
2022-08-15,NJ,47.100000000000016,1.4210854715202004e-14,7.943616365670173,0.99603955788249,239200.0,216400.0,WSW,16.0,2600.0,227,8,2022,other,0,0
2022-08-16,NJ,33.25098871436882,0.1920153359159362,7.864994222733004,0.9485282140779524,308900.0,198300.0,SW,23.0,2700.0,228,8,2022,other,0,0
2022-08-17,NJ,23.290772309482257,0.1833241417367941,7.729120389361961,0.9074531704479348,127600.0,138900.0,SSE,14.0,2500.0,229,8,2022,other,0,0
2022-08-18,NJ,15.91968307155323,0.0742798637599654,7.160501539464081,0.9484095404304828,111500.0,99000.0,SE,14.0,3700.0,230,8,2022,other,0,0
2022-08-19,NJ,10.7,1.7763568394002505e-15,6.690726406158382,0.9841419429901106,18700.0,40500.0,SSW,5.0,5800.0,231,8,2022,other,0,0
2022-08-20,NJ,7.0,0.0,8.12485752239413,0.9992251308900524,11200.0,33800.0,Low activity,-1.0,-1.0,232,8,2022,other,1,1
2022-08-21,NJ,4.399840837696334,0.0039863388876993,7.010043282170539,0.9877929028504944,10100.0,40800.0,WSW,4.0,1300.0,233,8,2022,other,0,0
2022-08-22,NJ,2.4999585805700986,0.0020347548798165,8.148305534335789,0.9999813845258873,163500.0,281100.0,S,13.0,1700.0,234,8,2022,other,0,0
2022-08-23,NJ,1.1002033740546828,0.2447412339832674,7.38096097564663,0.9886631762652704,1459800.0,945000.0,S,21.0,2600.0,235,8,2022,other,0,0
2022-08-24,NJ,0.5,0.0,6.564137649045849,0.9999208842350202,1842900.0,1302800.0,SSW,18.0,1600.0,236,8,2022,other,0,0
2022-08-25,NJ,0.5,0.0,6.715540719485444,0.9996858638743455,35600.0,94300.0,S,10.0,5100.0,237,8,2022,other,0,0
2022-08-26,NJ,0.5,0.0,7.23412319403048,0.9791995346131472,169900.0,188900.0,SSE,13.0,1600.0,238,8,2022,other,0,0
2022-08-27,NJ,0.5,0.0,8.641494599357097,0.98708784176847,2796400.0,2160500.0,SW,20.0,1800.0,239,8,2022,other,0,0
2022-08-28,NJ,0.5,0.0,7.794909424775348,0.9940058173356604,19700.0,62200.0,WSW,8.0,3400.0,240,8,2022,other,0,0
2022-08-29,NJ,0.5,0.0,6.9939212241872175,0.9724072134962188,9400.0,21000.0,Low activity,-1.0,-1.0,241,8,2022,other,1,1
2022-08-30,NJ,0.5,0.0,7.377686311183398,0.9782454915648632,171900.0,366000.0,SE,13.0,2100.0,242,8,2022,other,0,0
2022-08-31,NJ,0.5,0.0,7.2551590484860915,0.994389761489238,1627900.0,1343600.0,SE,24.0,2900.0,243,8,2022,other,0,0
2022-09-01,NJ,0.5,0.0,7.083389165089314,0.997740546829552,6918800.0,4042000.0,SW,32.0,1500.0,244,9,2022,fall,0,0
2022-09-02,NJ,0.5,0.0,8.26650157661363,0.999953461314718,526600.0,618100.0,SW,12.0,2200.0,245,9,2022,fall,0,0
2022-09-03,NJ,0.5,0.0,8.356891836321994,0.9761210005817336,14900.0,23500.0,Low activity,-1.0,-1.0,246,9,2022,fall,1,1
2022-09-04,NJ,0.5,0.0,7.584485818603128,0.990650378126818,19700.0,47500.0,SSW,6.0,4400.0,247,9,2022,fall,0,0
2022-09-05,NJ,0.5,0.0,7.997120498785475,0.9989435718440952,8700.0,25300.0,Low activity,-1.0,-1.0,248,9,2022,fall,1,1
2022-09-06,NJ,0.5,0.0,8.013771982598898,1.0,124400.0,287900.0,SW,19.0,2000.0,249,9,2022,fall,0,0
2022-09-07,NJ,50.28447004072133,12.454116103468676,7.0806434571656185,0.9772076788830716,5833400.0,3392100.0,SSW,29.0,1700.0,250,9,2022,fall,0,0
2022-09-08,NJ,73.32036346713204,0.3117459147464526,7.473978657854613,0.9910343222803956,5581400.0,2657600.0,SW,29.0,2100.0,251,9,2022,fall,0,0
2022-09-09,NJ,97.56711623036648,0.0469790874543296,6.517295744965456,0.9828784176847004,209400.0,245000.0,SW,15.0,2500.0,252,9,2022,fall,0,0
2022-09-10,NJ,133.46548923792903,0.0508421432637039,6.536463839746476,0.9703734729493892,13500.0,33100.0,Low activity,-1.0,-1.0,253,9,2022,fall,1,1
2022-09-11,NJ,105.42193321698664,0.0413794114419194,7.987218684238379,1.0,12400.0,26600.0,Low activity,-1.0,-1.0,254,9,2022,fall,1,1
2022-09-12,NJ,74.83428784176847,0.4712552317082419,7.380270346671091,0.8642582897033158,87300.0,309500.0,SSW,10.0,1500.0,255,9,2022,fall,0,0
2022-09-13,NJ,53.806606166375815,0.2849422753403072,7.936279839530369,0.9932844677137872,4355500.0,2240300.0,S,28.0,1500.0,256,9,2022,fall,0,0
2022-09-14,NJ,38.81821710296685,0.1029485256795854,6.79751486072797,0.9701477603257708,5029900.0,2435100.0,S,22.0,3200.0,257,9,2022,fall,0,0
2022-09-15,NJ,27.91001512507271,0.0300201561796315,6.398998672703232,0.98416986620128,9467200.0,5752800.0,SSW,24.0,1600.0,258,9,2022,fall,0,0
2022-09-16,NJ,19.90000000000001,3.552713678800501e-15,6.856622090432067,0.9466643397324026,1262100.0,1030900.0,SSW,18.0,1100.0,259,9,2022,fall,0,0
2022-09-17,NJ,13.98250890052356,0.0702950302797942,7.844311818358291,0.8844444444444444,9200.0,19800.0,Low activity,-1.0,-1.0,260,9,2022,fall,1,1
2022-09-19,NJ,6.135664456079115,0.0765567618725086,7.763495523775402,0.924325770796975,228500.0,248600.0,SE,10.0,1000.0,262,9,2022,fall,0,0
2022-09-20,NJ,3.899999999999999,1.3322676295501878e-15,6.721247721451354,0.9848470040721348,9205400.0,4699000.0,SSW,26.0,1700.0,263,9,2022,fall,0,0
2022-09-21,NJ,2.1000000000000005,4.440892098500626e-16,7.359583791447869,0.9888353694008144,16700.0,36300.0,Low activity,-1.0,-1.0,264,9,2022,fall,1,1
2022-09-22,NJ,0.5,0.0,7.110267414660141,0.9851704479348458,2518600.0,1834100.0,S,30.0,1500.0,265,9,2022,fall,0,0
2022-09-23,NJ,0.5,0.0,7.346602941308903,0.9999255381035486,3492000.0,1858800.0,S,31.0,1500.0,266,9,2022,fall,0,0
2022-09-24,NJ,0.5,0.0,8.294857747305345,0.9981035485747528,64400.0,152800.0,SSE,9.0,2500.0,267,9,2022,fall,0,0
2022-09-25,NJ,0.5,0.0,7.979652739594362,0.998003490401396,22500.0,43000.0,ESE,25.0,1600.0,268,9,2022,fall,0,0
2022-09-26,NJ,0.5,0.0,5.809346971776213,0.9992530541012216,117900.0,191700.0,SE,13.0,1500.0,269,9,2022,fall,0,0
2022-09-27,NJ,0.5,0.0,7.54667462927064,0.9826294357184407,1369800.0,1409800.0,SSE,16.0,1000.0,270,9,2022,fall,0,0
2022-09-28,NJ,0.5,0.0,7.741760683380893,0.9999627690517744,16801100.0,7292800.0,SW,35.0,2200.0,271,9,2022,fall,0,0
2022-09-29,NJ,0.5,0.0,8.627174235346857,0.999953461314718,6112500.0,2489000.0,SW,32.0,1600.0,272,9,2022,fall,0,0
2022-09-30,NJ,0.5,0.0,7.901423758071748,0.9881931355439209,54900.0,222100.0,WSW,21.0,1700.0,273,9,2022,fall,0,0
2022-10-01,NJ,0.5,0.0,7.963585309777227,1.0,171500.0,115700.0,SW,32.0,1200.0,274,10,2022,fall,0,0
2022-10-02,NJ,0.5,0.0,6.814779201136825,0.9627294938917976,60300.0,131400.0,SW,32.0,1600.0,275,10,2022,fall,0,0
2022-10-03,NJ,0.5,0.0,7.844066989064975,0.9925049447353111,30700.0,81500.0,SSW,25.0,1100.0,276,10,2022,fall,0,0
2022-10-04,NJ,0.5,0.0,6.874794997551777,0.9690494473531122,28400.0,71700.0,SSW,28.0,1000.0,277,10,2022,fall,0,0
2022-10-05,NJ,0.5,0.0,6.467493837397957,0.959155322862129,3304600.0,1633300.0,SSW,29.0,1900.0,278,10,2022,fall,0,0
2022-10-06,NJ,0.5,0.0,5.650027633269064,0.993089005235602,1256600.0,1214600.0,S,12.0,3200.0,279,10,2022,fall,0,0
2022-10-07,NJ,64.79999999999998,1.4210854715202004e-14,6.8383548468897954,0.9876788830715532,3464100.0,2308600.0,S,26.0,1300.0,280,10,2022,fall,0,0
2022-10-08,NJ,84.8246115183246,0.2541825066696772,7.639656563293473,0.9967702152414196,4704000.0,3924100.0,S,21.0,1700.0,281,10,2022,fall,0,0
2022-10-09,NJ,114.9129126236184,0.1605811527478874,6.995936308224101,0.9766864456079116,133500.0,143700.0,SSW,15.0,3300.0,282,10,2022,fall,0,0
2022-10-10,NJ,126.21782385107618,0.9023228415867292,7.148419416197406,0.9396160558464224,754000.0,556800.0,SSE,15.0,1700.0,283,10,2022,fall,0,0
2022-10-11,NJ,85.99676602675976,0.0176900746495561,6.339846089992355,0.9625200698080278,142500.0,242700.0,SSW,11.0,4500.0,284,10,2022,fall,0,0
2022-10-12,NJ,63.31022641070389,0.0302995312588329,6.6293839633030345,0.866454915648633,10700.0,20300.0,Low activity,-1.0,-1.0,285,10,2022,fall,1,1
2022-10-13,NJ,46.7,0.0,7.641026925269302,0.9992367655613728,134600.0,180800.0,SSW,31.0,1300.0,286,10,2022,fall,0,0
2022-10-14,NJ,34.4266387434555,0.1750980090540333,7.104894568415862,0.9421593949970912,10943800.0,7554500.0,SSW,19.0,2100.0,287,10,2022,fall,0,0
2022-10-15,NJ,25.04808888888889,0.1291443664086399,7.670926096816238,0.9212216404886562,689100.0,521900.0,SE,22.0,1600.0,288,10,2022,fall,0,0
