0313725165947372021010201567+43533-072950FM-15+0240KRUT V0201105N00575018295MN0160935N5-00115-00565102335ADDAA101000021AU110030015AW1715GA1075+018295999GA2085+022865999GD13991+0182959GD24991+0228659GE19MSL   +99999+99999GF199999999999018291999999MA1102305099435MW1715REMMET14201/01/21 20:56:01 METAR KRUT 020156Z 11011KT 10SM -SN BKN060 OVC075 M01/M06 A3021 RMK AO2 UPB20E54SNB56 PRESFR SLP233 P0000 T10111056 FZRANO $
0373725165947372021010202567+43533-072950FM-15+0240KRUT V0201605N00575014635MN0160935N5-00115-00505102115ADDAA101000021AA203000021GA1045+010975999GA2075+014635999GA3085+019815999GD12991+0109759GD23991+0146359GD34991+0198159GE19MSL   +99999+99999GF199999999999010971999999MA1102075099205MD1890449+9999REMMET15001/01/21 21:56:01 METAR KRUT 020256Z 16011KT 10SM SCT036 BKN048 OVC065 M01/M05 A3014 RMK AO2 UPB37E52SNE37 SLP211 P0000 60000 T10111050 58044 FZRANO $EQDQ01  00008PRCP03
0346725165947372021010203567+43533-072950FM-15+0240KRUT V0201205N00725011285MN0112655N5-00115-00445102005ADDAA101000021AU110030015AW1715GA1045+007925999GA2075+011285999GA3085+015245999GD12991+0079259GD23991+0112859GD34991+0152459GE19MSL   +99999+99999GF199999999999007921999999MA1101965099105MW1715OC100935REMMET13601/01/21 22:56:01 METAR KRUT 020356Z 12014G18KT 7SM -SN SCT026 BKN037 OVC050 M01/M04 A3011 RMK AO2 SNB40 SLP200 P0000 T10111044 FZRANO $
0294725165947372021010204107+43533-072950FM-15+0240KRUT V0201205N00575007925MN0048285N5-00205-00405999999ADDAA101000021AU110030015AU200001015AW1105AW2715GA1075+007925999GA2085+011285999GD13991+0079259GD24991+0112859GE19MSL   +99999+99999GF199999999999007921999999MA1101935099065MW1715REMMET10601/01/21 23:10:02 METAR KRUT 020410Z 12011KT 3SM -SN BR BKN026 OVC037 M02/M04 A3010 RMK AO2 P0000 FZRANO $
0309725165947372021010204567+43533-072950FM-15+0240KRUT V0201305N00415007925MN0048285N5-00175-00285101875ADDAA101000021AU110030015AU200001015AW1105AW2715GA1085+007925999GD14991+0079259GE19MSL   +99999+99999GF199999999999007921999999KA1240M-00061KA2240N-00441MA1101835098975MW1715REMMET12601/01/21 23:56:02 METAR KRUT 020456Z 13008KT 3SM -SN BR OVC026 M02/M03 A3007 RMK AO2 SLP187 P0000 T10171028 410061044 FZRANO $
0576725165947372021010204596+43533-072950SOD  +0240KRUT V020999999999999999999999999999+99999+99999999999ADDAA124000096AT1AU18SN  5AT2AU13BR  5AX1016246KA1240M-00055KA2240N-00435MG1099929999994OE11240093912099995OE22240071512099995OE33240017499999995REMSOD38724 HR PRECIPITATION (IN): 0.00 WEATHER(CODE):1  24 HR MAX TEMP (F): 3124 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE(D):29.506 PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):120 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):120 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.9 24 HR AVG TEMP (F): 28HEATING DEGREE DAYS: 37 COOLING DEGREE DAYS:  0EQDR01  0.007AAP092R02     17AXW092
0312725165947372021010205467+43533-072950FM-15+0240KRUT V0201405N00365014945MN0112655N5-00205-00205999999ADDAA101000021AU110030015AW1715GA1025+008535999GA2045+010675999GA3085+014945999GD11991+0085359GD22991+0106759GD34991+0149459GE19MSL   +99999+99999GF199999999999008531999999MA1101695098835MW1715REMMET11001/02/21 00:46:02 METAR KRUT 020546Z 14007KT 7SM -SN FEW028 SCT035 OVC049 M02/M02 A3003 RMK AO2 P0000 FZRANO $
0385725165947372021010205567+43533-072950FM-15+0240KRUT V0201505N00415014025MN0112655N5-00175-00225101705ADDAA101000021AA206000021AU110030015AW1715GA1025+009755999GA2085+014025999GD11991+0097559GD24991+0140259GE19MSL   +99999+99999GF199999999999009751999999KA1060M-00061KA2060N-00221MA1101665098805MD1690209+9999MW1715REMMET14401/02/21 00:56:02 METAR KRUT 020556Z 15008KT 7SM -SN FEW032 OVC046 M02/M02 A3002 RMK AO2 SLP170 P0000 60000 T10171022 11006 21022 56020 FZRANO $EQDQ01  00008PRCP06
0284725165947372021010206567+43533-072950FM-15+0240KRUT V0201605N00625011285MN0096565N5-00175-00225101535ADDAA101000395AU110030015AU200001015AW1105AW2715GA1085+011285999GD14991+0112859GE19MSL   +99999+99999GF199999999999011281999999MA1101495098635MW1715OC100825REMMET11901/02/21 01:56:02 METAR KRUT 020656Z 16012G16KT 6SM -SN BR OVC037 M02/M02 A2997 RMK AO2 SLP153 P0001 T10171022 FZRANO $
0346725165947372021010207567+43533-072950FM-15+0240KRUT V0201605N00675010675MN0080475N5-00115-00115101315ADDAA101000395AU110030015AU200001015AW1105AW2715GA1025+004575999GA2085+010675999GD11991+0045759GD24991+0106759GE19MSL   +99999+99999GF199999999999004571999999MA1101295098445MW1715OC100885REMMET15001/02/21 02:56:02 METAR KRUT 020756Z 16013G17KT 5SM -SN BR FEW015 OVC035 M01/M01 A2991 RMK AO2 UPB42E50SNE42B50 PRESFR SLP131 P0001 T10111011 FZRANO $
