0128997779999992023010316004+39300-075367FM-13+000399999V0201701N001019999999N999999999+00921+99999101581ADDMD1610071+9999OD159900361999SA1+0371REMSYN080SJSN4 46/// /1702 10092 40158 56007 91600 222// 00037 333 91207 555 11002 22002=
0128997779999992023010317004+39300-075367FM-13+000399999V0202201N007719999999N999999999+01421+99999101491ADDMD1810111+9999OD159900881999SA1+0381REMSYN080SJSN4 46/// /2215 10142 40149 58011 91700 222// 00038 333 91217 555 11014 22016=
0128997779999992023010318004+39300-075367FM-13+000399999V0202201N007719999999N999999999+01351+99999101391ADDMD1810231+9999OD159900981999SA1+0391REMSYN080SJSN4 46/// /2215 10135 40139 58023 91800 222// 00039 333 91219 555 11014 22016=
0128997779999992023010319004+39300-075367FM-13+000399999V0202101N008219999999N999999999+01501+99999101221ADDMD1810361+9999OD159900981999SA1+0391REMSYN080SJSN4 46/// /2116 10150 40122 58036 91900 222// 00039 333 91219 555 11015 22017=
0128997779999992023010320004+39300-075367FM-13+000399999V0202101N008219999999N999999999+01471+99999101161ADDMD1610331+9999OD159901081999SA1+0401REMSYN080SJSN4 46/// /2116 10147 40116 56033 92000 222// 00040 333 91221 555 11015 22017=
0128997779999992023010321004+39300-075367FM-13+000399999V0202001N010319999999N999999999+01361+99999101071ADDMD1610321+9999OD159901181999SA1+0441REMSYN080SJSN4 46/// /2020 10136 40107 56032 92100 222// 00044 333 91223 555 11019 22021=
0128997779999992023010322004+39300-075367FM-13+000399999V0202001N007219999999N999999999+01361+99999101071ADDMD1610151+9999OD159900771999SA1+0461REMSYN080SJSN4 46/// /2014 10136 40107 56015 92200 222// 00046 333 91215 555 11014 22015=
0128997779999992023010323004+39300-075367FM-13+000399999V0202001N009319999999N999999999+01411+99999101051ADDMD1610111+9999OD159900981999SA1+0411REMSYN080SJSN4 46/// /2018 10141 40105 56011 92300 222// 00041 333 91219 555 11017 22019=
0128997779999992023010400004+39300-075367FM-13+000399999V0202001N009819999999N999999999+01441+99999101061ADDMD1410001+9999OD159901081999SA1+0401REMSYN080SJSN4 46/// /2019 10144 40106 54000 90000 222// 00040 333 91221 555 11018 22019=
0128997779999992023010401004+39300-075367FM-13+000399999V0202001N009819999999N999999999+01321+99999101061ADDMD1410001+9999OD159901031999SA1+0391REMSYN080SJSN4 46/// /2019 10132 40106 54000 90100 222// 00039 333 91220 555 11018 22020=
0128997779999992023010402004+39300-075367FM-13+000399999V0202001N010819999999N999999999+01381+99999100991ADDMD1810061+9999OD159901131999SA1+0391REMSYN080SJSN4 46/// /2021 10138 40099 58006 90200 222// 00039 333 91222 555 11020 22021=
0128997779999992023010403004+39300-075367FM-13+000399999V0202101N009819999999N999999999+01391+99999100991ADDMD1710071+9999OD159901131999SA1+0391REMSYN080SJSN4 46/// /2119 10139 40099 57007 90300 222// 00039 333 91222 555 11019 22020=
0128997779999992023010404004+39300-075367FM-13+000399999V0202001N010319999999N999999999+01381+99999100871ADDMD1810191+9999OD159901081999SA1+0401REMSYN080SJSN4 46/// /2020 10138 40087 58019 90400 222// 00040 333 91221 555 11019 22021=
0128997779999992023010405004+39300-075367FM-13+000399999V0202101N007219999999N999999999+01441+99999100861ADDMD1710131+9999OD159900881999SA1+0411REMSYN080SJSN4 46/// /2114 10144 40086 57013 90500 222// 00041 333 91217 555 11013 22014=
0128997779999992023010406004+39300-075367FM-13+000399999V0202301N009319999999N999999999+01531+99999100971ADDMD1510001+9999OD159901031999SA1+0421REMSYN080SJSN4 46/// /2318 10153 40097 55000 90600 222// 00042 333 91220 555 11017 22018=
0128997779999992023010407004+39300-075367FM-13+000399999V0202401N009819999999N999999999+01621+99999100991ADDMD1210121+9999OD159901181999SA1+0421REMSYN080SJSN4 46/// /2419 10162 40099 52012 90700 222// 00042 333 91223 555 11018 22020=
0128997779999992023010408004+39300-075367FM-13+000399999V0202401N009319999999N999999999+01591+99999101071ADDMD1110211+9999OD159900981999SA1+0421REMSYN080SJSN4 46/// /2418 10159 40107 51021 90800 222// 00042 333 91219 555 11017 22019=
