0088997270999992021010300004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00891+99999101811ADDMD1110251+9999SA1+0731REMSYN054ACYN4 46/// ///// 10089 40181 51025 90000 222// 00073=
0088997270999992021010301004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00811+99999101871ADDMD1110201+9999SA1+0721REMSYN054ACYN4 46/// ///// 10081 40187 51020 90100 222// 00072=
0088997270999992021010302004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00691+99999101931ADDMD1310131+9999SA1+0711REMSYN054ACYN4 46/// ///// 10069 40193 53013 90200 222// 00071=
0088997270999992021010303004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00621+99999101941ADDMD1110131+9999SA1+0711REMSYN054ACYN4 46/// ///// 10062 40194 51013 90300 222// 00071=
0088997270999992021010304004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00551+99999102001ADDMD1210131+9999SA1+0711REMSYN054ACYN4 46/// ///// 10055 40200 52013 90400 222// 00071=
0088997270999992021010305004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00501+99999101931ADDMD1990001+9999SA1+0711REMSYN054ACYN4 46/// ///// 10050 40193 50000 90500 222// 00071=
0088997270999992021010306004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00441+99999101871ADDMD1810071+9999SA1+0701REMSYN054ACYN4 46/// ///// 10044 40187 58007 90600 222// 00070=
0088997270999992021010307004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00381+99999101891ADDMD1610111+9999SA1+0701REMSYN054ACYN4 46/// ///// 10038 40189 56011 90700 222// 00070=
0068997270999992021010308004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00391+99999102051ADDSA1+0701REMSYN048ACYN4 46/// ///// 10039 40205 90736 222// 00070=
0088997270999992021010309004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00511+99999101891ADDMD1410001+9999SA1+0691REMSYN054ACYN4 46/// ///// 10051 40189 54000 90900 222// 00069=
0088997270999992021010310004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00631+99999101691ADDMD1710201+9999SA1+0691REMSYN054ACYN4 46/// ///// 10063 40169 57020 91000 222// 00069=
0068997270999992021010311004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00661+99999101841ADDSA1+0691REMSYN048ACYN4 46/// ///// 10066 40184 91036 222// 00069=
0088997270999992021010312004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00661+99999101851ADDMD1610041+9999SA1+0671REMSYN054ACYN4 46/// ///// 10066 40185 56004 91200 222// 00067=
0088997270999992021010313004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00641+99999101901ADDMD1110211+9999SA1+0671REMSYN054ACYN4 46/// ///// 10064 40190 51021 91300 222// 00067=
0088997270999992021010314004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00671+99999101821ADDMD1810081+9999SA1+0671REMSYN054ACYN4 46/// ///// 10067 40182 58008 91400 222// 00067=
0088997270999992021010315004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00711+99999101681ADDMD1810171+9999SA1+0681REMSYN054ACYN4 46/// ///// 10071 40168 58017 91500 222// 00068=
0088997270999992021010316004+39350-074420FM-13+001099999V0209999C000019999999N999999999+99999+99999101591ADDMD1810311+9999SA1+0681REMSYN054ACYN4 46/// ///// 1//// 40159 58031 91600 222// 00068=
0088997270999992021010317004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00771+99999101311ADDMD1810511+9999SA1+0671REMSYN054ACYN4 46/// ///// 10077 40131 58051 91700 222// 00067=
0088997270999992021010318004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00821+99999101181ADDMD1810501+9999SA1+0671REMSYN054ACYN4 46/// ///// 10082 40118 58050 91800 222// 00067=
0088997270999992021010319004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00881+99999101121ADDMD1610471+9999SA1+0661REMSYN054ACYN4 46/// ///// 10088 40112 56047 91900 222// 00066=
0088997270999992021010320004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00901+99999101141ADDMD1610171+9999SA1+0671REMSYN054ACYN4 46/// ///// 10090 40114 56017 92000 222// 00067=
0088997270999992021010321004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00831+99999101161ADDMD1510001+9999SA1+0671REMSYN054ACYN4 46/// ///// 10083 40116 55000 92100 222// 00067=
0088997270999992021010322004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00781+99999101141ADDMD1410001+9999SA1+0671REMSYN054ACYN4 46/// ///// 10078 40114 54000 92200 222// 00067=
0088997270999992021010323004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00711+99999101191ADDMD1310051+9999SA1+0671REMSYN054ACYN4 46/// ///// 10071 40119 53005 92300 222// 00067=
0088997270999992021010400004+39350-074420FM-13+001099999V0209999C000019999999N999999999+00581+99999101201ADDMD1210041+9999SA1+0681REMSYN054ACYN4 46/// ///// 10058 40120 52004 90000 222// 00068=
