0128997779999992021010212004+39300-075367FM-13+000399999V0202601N007719999999N999999999+00461+99999101191ADDMD1310181+9999OD159900981999SA1+0461REMSYN080SJSN4 46/// /2615 10046 40119 53018 91200 222// 00046 333 91219 555 11015 22016=
0108997779999992021010213004+39300-075367FM-13+000399999V0202401N006719999999N999999999+00461+99999101221ADDOD159900821999SA1+0461REMSYN074SJSN4 46/// /2413 10046 40122 91236 222// 00046 333 91216 555 11013 22014=
0128997779999992021010214004+39300-075367FM-13+000399999V0202601N005119999999N999999999+00471+99999101281ADDMD1210251+9999OD159900571999SA1+0461REMSYN080SJSN4 46/// /2610 10047 40128 52025 91400 222// 00046 333 91211 555 11010 22011=
0128997779999992021010215004+39300-075367FM-13+000399999V0202601N005119999999N999999999+00511+99999101331ADDMD1210141+9999OD159900571999SA1+0461REMSYN080SJSN4 46/// /2610 10051 40133 52014 91500 222// 00046 333 91211 555 11009 22010=
0108997779999992021010216004+39300-075367FM-13+000399999V0203001N006219999999N999999999+00591+99999101371ADDOD159900671999SA1+0461REMSYN074SJSN4 46/// /3012 10059 40137 91554 222// 00046 333 91213 555 11012 22013=
0128997779999992021010217004+39300-075367FM-13+000399999V0202901N008219999999N999999999+00911+99999101341ADDMD1990061+9999OD159900931999SA1+0471REMSYN080SJSN4 46/// /2916 10091 40134 50006 91700 222// 00047 333 91218 555 11015 22017=
0128997779999992021010218004+39300-075367FM-13+000399999V0202801N009319999999N999999999+01021+99999101351ADDMD1990001+9999OD159901131999SA1+0471REMSYN080SJSN4 46/// /2818 10102 40135 50000 91800 222// 00047 333 91222 555 11017 22019=
0128997779999992021010219004+39300-075367FM-13+000399999V0202701N011319999999N999999999+01071+99999101411ADDMD1310041+9999OD159901181999SA1+0471REMSYN080SJSN4 46/// /2722 10107 40141 53004 91900 222// 00047 333 91223 555 11021 22022=
0128997779999992021010220004+39300-075367FM-13+000399999V0203001N008219999999N999999999+00911+99999101531ADDMD1310191+9999OD159900931999SA1+0481REMSYN080SJSN4 46/// /3016 10091 40153 53019 92000 222// 00048 333 91218 555 11016 22017=
0128997779999992021010221004+39300-075367FM-13+000399999V0203001N007719999999N999999999+00851+99999101661ADDMD1310311+9999OD159900931999SA1+0491REMSYN080SJSN4 46/// /3015 10085 40166 53031 92100 222// 00049 333 91218 555 11014 22015=
0128997779999992021010222004+39300-075367FM-13+000399999V0203201N009319999999N999999999+00841+99999101751ADDMD1110341+9999OD159901081999SA1+0481REMSYN080SJSN4 46/// /3218 10084 40175 51034 92200 222// 00048 333 91221 555 11017 22019=
0128997779999992021010223004+39300-075367FM-13+000399999V0203301N006719999999N999999999+00761+99999101861ADDMD1110331+9999OD159900931999SA1+0481REMSYN080SJSN4 46/// /3313 10076 40186 51033 92300 222// 00048 333 91218 555 11013 22014=
0128997779999992021010300004+39300-075367FM-13+000399999V0203301N008819999999N999999999+00761+99999101881ADDMD1110221+9999OD159900981999SA1+0471REMSYN080SJSN4 46/// /3317 10076 40188 51022 90000 222// 00047 333 91219 555 11016 22017=
0128997779999992021010301004+39300-075367FM-13+000399999V0203201N006219999999N999999999+00681+99999101931ADDMD1110181+9999OD159900721999SA1+0471REMSYN080SJSN4 46/// /3212 10068 40193 51018 90100 222// 00047 333 91214 555 11012 22013=
0128997779999992021010302004+39300-075367FM-13+000399999V0203401N004119999999N999999999+00591+99999101981ADDMD1310121+9999OD159900461999SA1+0471REMSYN080SJSN4 46/// /3408 10059 40198 53012 90200 222// 00047 333 91209 555 11008 22009=
0128997779999992021010303004+39300-075367FM-13+000399999V0203401N004119999999N999999999+00571+99999101971ADDMD1110091+9999OD159900461999SA1+0471REMSYN080SJSN4 46/// /3408 10057 40197 51009 90300 222// 00047 333 91209 555 11008 22008=
0128997779999992021010304004+39300-075367FM-13+000399999V0200101N002619999999N999999999+00581+99999102031ADDMD1310101+9999OD159900261999SA1+0471REMSYN080SJSN4 46/// /0105 10058 40203 53010 90400 222// 00047 333 91205 555 11004 22005=
0128997779999992021010305004+39300-075367FM-13+000399999V0200301N005119999999N999999999+00511+99999101921ADDMD1810061+9999OD159900621999SA1+0471REMSYN080SJSN4 46/// /0310 10051 40192 58006 90500 222// 00047 333 91212 555 11010 22011=
0128997779999992021010306004+39300-075367FM-13+000399999V0200301N004119999999N999999999+00461+99999101891ADDMD1810081+9999OD159900511999SA1+0471REMSYN080SJSN4 46/// /0308 10046 40189 58008 90600 222// 00047 333 91210 555 11007 22008=
0128997779999992021010307004+39300-075367FM-13+000399999V0200401N004619999999N999999999+00421+99999101951ADDMD1510081+9999OD159900571999SA1+0471REMSYN080SJSN4 46/// /0409 10042 40195 55008 90700 222// 00047 333 91211 555 11008 22009=
0108997779999992021010308004+39300-075367FM-13+000399999V0200401N005119999999N999999999+00401+99999101951ADDOD159900571999SA1+0471REMSYN074SJSN4 46/// /0410 10040 40195 90736 222// 00047 333 91211 555 11010 22010=
0128997779999992021010309004+39300-075367FM-13+000399999V0200701N003619999999N999999999+00341+99999101811ADDMD1710081+9999OD159900461999SA1+0471REMSYN080SJSN4 46/// /0707 10034 40181 57008 90900 222// 00047 333 91209 555 11007 22007=
0128997779999992021010310004+39300-075367FM-13+000399999V0200501N003619999999N999999999+00351+99999101821ADDMD1710131+9999OD159900461999SA1+0471REMSYN080SJSN4 46/// /0507 10035 40182 57013 91000 222// 00047 333 91209 555 11007 22007=
0108997779999992021010311004+39300-075367FM-13+000399999V0200301N002619999999N999999999+00361+99999101921ADDOD159900311999SA1+0461REMSYN074SJSN4 46/// /0305 10036 40192 91036 222// 00046 333 91206 555 11005 22005=
0128997779999992021010312004+39300-075367FM-13+000399999V0200501N003619999999N999999999+00301+99999101891ADDMD1310081+9999OD159900511999SA1+0471REMSYN080SJSN4 46/// /0507 10030 40189 53008 91200 222// 00047 333 91210 555 11007 22007=
0128997779999992021010313004+39300-075367FM-13+000399999V0200601N004619999999N999999999+00321+99999101801ADDMD1990001+9999OD159900511999SA1+0471REMSYN080SJSN4 46/// /0609 10032 40180 50000 91300 222// 00047 333 91210 555 11008 22009=
0128997779999992021010314004+39300-075367FM-13+000399999V0200101N005119999999N999999999+00351+99999101771ADDMD1810041+9999OD159900571999SA1+0461REMSYN080SJSN4 46/// /0110 10035 40177 58004 91400 222// 00046 333 91211 555 11009 22010=
0128997779999992021010315004+39300-075367FM-13+000399999V0200501N005119999999N999999999+00411+99999101691ADDMD1610201+9999OD159900671999SA1+0461REMSYN080SJSN4 46/// /0510 10041 40169 56020 91500 222// 00046 333 91213 555 11010 22011=
0128997779999992021010316004+39300-075367FM-13+000399999V0200501N006219999999N999999999+99999+99999101491ADDMD1810311+9999OD159900821999SA1+0471REMSYN080SJSN4 46/// /0512 1//// 40149 58031 91600 222// 00047 333 91216 555 11012 22013=
0128997779999992021010317004+39300-075367FM-13+000399999V0200501N007219999999N999999999+00591+99999101321ADDMD1810451+9999OD159900821999SA1+0471REMSYN080SJSN4 46/// /0514 10059 40132 58045 91700 222// 00047 333 91216 555 11013 22014=
0128997779999992021010318004+39300-075367FM-13+000399999V0200401N007219999999N999999999+00601+99999101211ADDMD1610481+9999OD159900771999SA1+0481REMSYN080SJSN4 46/// /0414 10060 40121 56048 91800 222// 00048 333 91215 555 11013 22014=
0128997779999992021010319004+39300-075367FM-13+000399999V0200401N007219999999N999999999+00591+99999101161ADDMD1610331+9999OD159900771999SA1+0481REMSYN080SJSN4 46/// /0414 10059 40116 56033 91900 222// 00048 333 91215 555 11013 22014=
0128997779999992021010320004+39300-075367FM-13+000399999V0200201N004619999999N999999999+00561+99999101211ADDMD1510111+9999OD159900621999SA1+0481REMSYN080SJSN4 46/// /0209 10056 40121 55011 92000 222// 00048 333 91212 555 11009 22010=
0128997779999992021010321004+39300-075367FM-13+000399999V0200101N004119999999N999999999+00551+99999101211ADDMD1510001+9999OD159900461999SA1+0481REMSYN080SJSN4 46/// /0108 10055 40121 55000 92100 222// 00048 333 91209 555 11007 22008=
0128997779999992021010322004+39300-075367FM-13+000399999V0203301N006719999999N999999999+00501+99999101261ADDMD1210101+9999OD159900721999SA1+0481REMSYN080SJSN4 46/// /3313 10050 40126 52010 92200 222// 00048 333 91214 555 11012 22014=
0128997779999992021010323004+39300-075367FM-13+000399999V0203201N009819999999N999999999+00401+99999101311ADDMD1310101+9999OD159901081999SA1+0481REMSYN080SJSN4 46/// /3219 10040 40131 53010 92300 222// 00048 333 91221 555 11018 22020=
0128997779999992021010400004+39300-075367FM-13+000399999V0203601N005719999999N999999999+00391+99999101301ADDMD1110091+9999OD159900621999SA1+0481REMSYN080SJSN4 46/// /3611 10039 40130 51009 90000 222// 00048 333 91212 555 11011 22012=
0128997779999992021010401004+39300-075367FM-13+000399999V0203301N006219999999N999999999+00381+99999101351ADDMD1210091+9999OD159900671999SA1+0481REMSYN080SJSN4 46/// /3312 10038 40135 52009 90100 222// 00048 333 91213 555 11012 22013=
0128997779999992021010402004+39300-075367FM-13+000399999V0203301N007219999999N999999999+00361+99999101361ADDMD1210051+9999OD159900771999SA1+0481REMSYN080SJSN4 46/// /3314 10036 40136 52005 90200 222// 00048 333 91215 555 11013 22014=
0128997779999992021010403004+39300-075367FM-13+000399999V0203401N006219999999N999999999+00351+99999101391ADDMD1110091+9999OD159900721999SA1+0491REMSYN080SJSN4 46/// /3412 10035 40139 51009 90300 222// 00049 333 91214 555 11012 22013=
0128997779999992021010404004+39300-075367FM-13+000399999V0203201N006219999999N999999999+00381+99999101411ADDMD1210061+9999OD159900821999SA1+0491REMSYN080SJSN4 46/// /3212 10038 40141 52006 90400 222// 00049 333 91216 555 11012 22013=
0128997779999992021010405004+39300-075367FM-13+000399999V0203301N006719999999N999999999+00351+99999101421ADDMD1110061+9999OD159900721999SA1+0471REMSYN080SJSN4 46/// /3313 10035 40142 51006 90500 222// 00047 333 91214 555 11012 22014=
0128997779999992021010406004+39300-075367FM-13+000399999V0203201N007719999999N999999999+00331+99999101431ADDMD1210041+9999OD159900881999SA1+0481REMSYN080SJSN4 46/// /3215 10033 40143 52004 90600 222// 00048 333 91217 555 11015 22016=
0128997779999992021010407004+39300-075367FM-13+000399999V0203401N007219999999N999999999+00301+99999101451ADDMD1210041+9999OD159900821999SA1+0481REMSYN080SJSN4 46/// /3414 10030 40145 52004 90700 222// 00048 333 91216 555 11014 22015=
0128997779999992021010408004+39300-075367FM-13+000399999V0203401N005719999999N999999999+00281+99999101481ADDMD1310061+9999OD159900671999SA1+0481REMSYN080SJSN4 46/// /3411 10028 40148 53006 90800 222// 00048 333 91213 555 11011 22012=
0128997779999992021010409004+39300-075367FM-13+000399999V0203401N006219999999N999999999+00281+99999101461ADDMD1210031+9999OD159900671999SA1+0481REMSYN080SJSN4 46/// /3412 10028 40146 52003 90900 222// 00048 333 91213 555 11011 22012=
0128997779999992021010410004+39300-075367FM-13+000399999V0203401N006719999999N999999999+00291+99999101501ADDMD1310051+9999OD159900771999SA1+0481REMSYN080SJSN4 46/// /3413 10029 40150 53005 91000 222// 00048 333 91215 555 11012 22014=
0128997779999992021010411004+39300-075367FM-13+000399999V0203601N006219999999N999999999+00301+99999101541ADDMD1310061+9999OD159900721999SA1+0471REMSYN080SJSN4 46/// /3612 10030 40154 53006 91100 222// 00047 333 91214 555 11011 22012=
0108997779999992021010412004+39300-075367FM-13+000399999V0203501N004619999999N999999999+00291+99999101591ADDMD1310131+9999OD159900571999REMSYN068SJSN4 46/// /3509 10029 40159 53013 91200 333 91211 555 11008 22009=
0128997779999992021010413004+39300-075367FM-13+000399999V0203401N005119999999N999999999+00301+99999101661ADDMD1310161+9999OD159900621999SA1+0471REMSYN080SJSN4 46/// /3410 10030 40166 53016 91300 222// 00047 333 91212 555 11010 22010=
0128997779999992021010414004+39300-075367FM-13+000399999V0203301N005119999999N999999999+00301+99999101751ADDMD1310211+9999OD159900571999SA1+0481REMSYN080SJSN4 46/// /3310 10030 40175 53021 91400 222// 00048 333 91211 555 11009 22010=
0128997779999992021010415004+39300-075367FM-13+000399999V0203301N006219999999N999999999+00351+99999101731ADDMD1110141+9999OD159900671999SA1+0471REMSYN080SJSN4 46/// /3312 10035 40173 51014 91500 222// 00047 333 91213 555 11011 22012=
0128997779999992021010416004+39300-075367FM-13+000399999V0203401N005719999999N999999999+00381+99999101681ADDMD1990001+9999OD159900721999SA1+0481REMSYN080SJSN4 46/// /3411 10038 40168 50000 91600 222// 00048 333 91214 555 11011 22012=
0088997779999992021010417004+39300-075367FM-13+000399999V0209999C000019999999N999999999+00421+99999101621ADDMD1810131+9999SA1+0481REMSYN054SJSN4 46/// ///// 10042 40162 58013 91700 222// 00048=
0128997779999992021010418004+39300-075367FM-13+000399999V0203301N003119999999N999999999+00451+99999101561ADDMD1810171+9999OD159900361999SA1+0481REMSYN080SJSN4 46/// /3306 10045 40156 58017 91800 222// 00048 333 91207 555 11006 22006=
0128997779999992021010419004+39300-075367FM-13+000399999V0203401N003119999999N999999999+00491+99999101531ADDMD1610151+9999OD159900361999SA1+0491REMSYN080SJSN4 46/// /3406 10049 40153 56015 91900 222// 00049 333 91207 555 11005 22006=
