0108997743999992023010216004+40650-074067FM-13+007299999V0202901N002119999999N999999999+00951+99999102021ADDMD1990001+9999OD159900211999REMSYN068ROBN4 46/// /2904 10095 40202 50000 91600 333 91204 555 11004 22004=
0108997743999992023010217004+40650-074067FM-13+007299999V0202601N001019999999N999999999+01141+99999101941ADDMD1810141+9999OD159900151999REMSYN068ROBN4 46/// /2602 10114 40194 58014 91700 333 91203 555 11002 22002=
0108997743999992023010218004+40650-074067FM-13+007299999V0200201N001019999999N999999999+01181+99999101911ADDMD1610171+9999OD159900151999REMSYN068ROBN4 46/// /0202 10118 40191 56017 91800 333 91203 555 11002 22002=
0108997743999992023010219004+40650-074067FM-13+007299999V0201801N003119999999N999999999+01111+99999101911ADDMD1610111+9999OD159900361999REMSYN068ROBN4 46/// /1806 10111 40191 56011 91900 333 91207 555 11005 22006=
0108997743999992023010220004+40650-074067FM-13+007299999V0202601N002119999999N999999999+01231+99999101931ADDMD1510001+9999OD159900411999REMSYN068ROBN4 46/// /2604 10123 40193 55000 92000 333 91208 555 11004 22004=
0108997743999992023010221004+40650-074067FM-13+007299999V0201701N004619999999N999999999+01011+99999101941ADDMD1210031+9999OD159900511999REMSYN068ROBN4 46/// /1709 10101 40194 52003 92100 333 91210 555 11009 22009=
0108997743999992023010222004+40650-074067FM-13+007299999V0201801N002619999999N999999999+01071+99999101971ADDMD1310061+9999OD159900361999REMSYN068ROBN4 46/// /1805 10107 40197 53006 92200 333 91207 555 11005 22005=
0108997743999992023010223004+40650-074067FM-13+007299999V0201901N002119999999N999999999+01181+99999101991ADDMD1210061+9999OD159900261999REMSYN068ROBN4 46/// /1904 10118 40199 52006 92300 333 91205 555 11003 22004=
0108997743999992023010300004+40650-074067FM-13+007299999V0201701N002619999999N999999999+01161+99999102031ADDMD1310091+9999OD159900311999REMSYN068ROBN4 46/// /1705 10116 40203 53009 90000 333 91206 555 11004 22005=
0108997743999992023010301004+40650-074067FM-13+007299999V0202201N002619999999N999999999+01151+99999102081ADDMD1310111+9999OD159900261999REMSYN068ROBN4 46/// /2205 10115 40208 53011 90100 333 91205 555 11004 22005=
