date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2022-10-29,17700,38600,—,-,-
2022-10-30,12600,25800,—,-,-
2022-10-31,13600,53700,ESE,8.0,3400.0
2022-11-01,321300,145600,S,33.0,3200.0
2022-11-02,849600,614600,SSW,24.0,3200.0
2022-11-03,12800,25900,—,-,-
2022-11-04,12800,25300,—,-,-
2022-11-05,12900,31500,—,-,-
2022-11-06,13400,47600,—,-,-
2022-11-07,590300,250100,S,34.0,1400.0
2022-11-08,329500,194400,SSW,36.0,1900.0
2022-11-09,13000,25200,—,-,-
2022-11-10,13200,25300,—,-,-
2022-11-11,13000,96700,SE,11.0,3000.0
2022-11-12,33500,87500,SW,11.0,1700.0
2022-11-13,94000,108800,SE,20.0,2300.0
2022-11-14,48000,40500,—,-,-
2022-11-15,-,-,-,-,-
2023-03-01,17700,37800,—,-,-
2023-03-02,12000,39700,—,-,-
2023-03-03,12500,75800,N,8.0,1000.0
2023-03-04,11900,46200,—,-,-
2023-03-05,12100,25500,—,-,-
2023-03-06,11600,66700,SE,8.0,3300.0
2023-03-07,11700,40400,—,-,-
2023-03-08,11800,25400,—,-,-
2023-03-09,12000,45500,—,-,-
2023-03-10,11900,64600,NW,3.0,2400.0
2023-03-11,11900,27100,—,-,-
2023-03-12,12100,28100,—,-,-
2023-03-13,11500,63100,NNE,6.0,1700.0
2023-03-14,11400,28600,—,-,-
2023-03-15,11300,25200,—,-,-
2023-03-16,36600,51700,NE,17.0,1500.0
2023-03-17,21200,43700,—,-,-
2023-03-18,17500,37600,—,-,-
2023-03-19,13100,32200,—,-,-
2023-03-20,32000,41600,—,-,-
2023-03-21,27800,41600,—,-,-
2023-03-22,75900,71100,N,20.0,1700.0
2023-03-23,15100,56300,E,26.0,3800.0
2023-03-24,22300,50000,N,10.0,1100.0
2023-03-25,16900,213000,NW,15.0,1100.0
2023-03-26,74400,67500,NNE,10.0,900.0
2023-03-27,15300,98300,NE,15.0,2500.0
2023-03-28,38800,47000,—,-,-
2023-03-29,47400,209000,NE,27.0,2300.0
2023-03-30,15000,34300,—,-,-
2023-03-31,25300,58800,NNE,22.0,1600.0
2023-04-01,14800,42900,—,-,-
2023-04-02,100100,73600,N,23.0,1300.0
2023-04-03,721600,575600,NE,28.0,1600.0
2023-04-04,79600,113200,N,12.0,2100.0
2023-04-05,144600,206600,NE,34.0,1500.0
2023-04-06,720500,603500,NE,26.0,800.0
2023-04-07,11400,29300,—,-,-
2023-04-08,297000,303900,NNE,22.0,1000.0
2023-04-09,2382200,1677200,NE,23.0,1100.0
2023-04-10,3500800,1825200,NNE,28.0,800.0
2023-04-11,48700,76600,ENE,23.0,1600.0
2023-04-12,1426700,888800,NNE,28.0,1200.0
2023-04-13,2010800,1263000,ENE,26.0,1300.0
2023-04-14,3010800,1773300,NNE,27.0,4200.0
2023-04-15,1115900,659000,NNE,32.0,2900.0
2023-04-16,262800,225200,NNE,30.0,3000.0
2023-04-17,21800,75200,NE,15.0,2100.0
2023-04-18,27600,48800,ENE,15.0,1400.0
2023-04-19,9500,60300,E,9.0,1100.0
2023-04-20,325900,338200,NNE,21.0,1800.0
2023-04-21,4816800,2384300,NNE,38.0,4500.0
2023-04-22,58500,80600,N,31.0,1700.0
2023-04-23,11900,103700,ENE,9.0,2200.0
2023-04-24,40000,82100,NE,14.0,1900.0
2023-04-25,78700,86300,NE,16.0,2000.0
2023-04-26,133600,280200,NNE,17.0,1600.0
2023-04-27,1242300,898100,NNE,26.0,2800.0
2023-04-28,1327000,1099900,NNE,31.0,3100.0
2023-04-29,17300,63000,NNW,20.0,2000.0
2023-04-30,9700,45700,—,-,-
2023-05-01,707100,485500,NNE,35.0,2000.0
2023-05-02,22400,115200,NNE,10.0,1800.0
2023-05-03,9600,49800,WNW,13.0,2000.0
