date,total_passed,peak_birds,peak_direction,peak_speed_mph,peak_altitude_ft
2023-03-07,10600,23600,—,-,-
2023-03-08,10400,19500,—,-,-
2023-03-09,11600,27000,—,-,-
2023-03-10,11800,25800,—,-,-
2023-03-11,10400,25200,—,-,-
2023-03-12,17000,65200,WNW,13.0,1500.0
2023-03-13,10200,49000,ENE,8.0,1800.0
2023-03-14,10100,31800,—,-,-
2023-03-15,9800,26400,—,-,-
2023-03-16,752100,274200,NE,43.0,1800.0
2023-03-17,14800,21900,—,-,-
2023-03-18,9900,19600,—,-,-
2023-03-19,9900,28100,—,-,-
2023-03-20,80700,42000,NE,31.0,1600.0
2023-03-21,444600,198300,NE,38.0,3300.0
2023-03-22,181400,101500,NNE,35.0,1800.0
2023-03-23,19300,35000,—,-,-
2023-03-24,9500,20400,—,-,-
2023-03-25,182500,108300,NE,52.0,2100.0
2023-03-26,644500,489700,NE,24.0,2100.0
2023-03-27,9400,37400,—,-,-
2023-03-28,11200,22700,—,-,-
2023-03-29,604400,436800,NE,43.0,2300.0
2023-03-30,176600,128400,NE,34.0,1900.0
2023-03-31,186800,88300,NE,39.0,1700.0
2023-04-01,9900,23200,—,-,-
2023-04-02,33500,43900,NNE,14.0,2200.0
2023-04-03,2126900,833600,NE,45.0,2500.0
2023-04-04,572600,264300,NNE,31.0,2000.0
2023-04-05,331800,149700,NE,43.0,2000.0
2023-04-06,11100,25400,—,-,-
2023-04-07,9100,19800,—,-,-
2023-04-08,16300,30800,—,-,-
2023-04-09,85300,62900,NNE,20.0,2100.0
2023-04-10,377000,189100,NE,35.0,1300.0
2023-04-11,164200,126100,NE,35.0,1100.0
2023-04-12,338000,210100,NE,32.0,700.0
2023-04-13,1259500,573700,NE,34.0,1300.0
2023-04-14,572900,328000,NNE,27.0,2000.0
2023-04-15,159400,155800,NNE,25.0,1700.0
2023-04-16,200200,173400,NNE,29.0,2100.0
2023-04-17,13400,23000,—,-,-
2023-04-18,8900,20200,—,-,-
2023-04-19,1003800,577900,NE,29.0,1300.0
2023-04-20,2527300,1774400,NNE,31.0,2100.0
2023-04-21,1004600,355600,N,39.0,1800.0
